	treatment	mouse	batch	pdx
METS15_G3_1_M25	E2	M25	1	METS15
METS15_G3_1_M26	E2	M26	1	METS15
METS15_G3_1_M27	E2P4	M27	1	METS15
METS15_G3_1_M29	P4	M29	1	METS15
METS15_G3_1_M31	CTRL	M31	1	METS15
METS15_G3_1_M33	E2	M33	1	METS15
METS15_G3_1_M34	E2P4	M34	1	METS15
METS15_G3_1_M35	P4	M35	1	METS15
METS15_G3_1_M36	CTRL	M36	1	METS15
METS15_G3_1_M37	E2P4	M37	1	METS15
METS15_G3_1_M38	P4	M38	1	METS15
METS15_G3_1_M39	E2	M39	1	METS15
METS15_G3_1_M40	CTRL	M40	1	METS15
T105_G3_1_M01	E2	M01	2	T105
T105_G3_1_M02	E2	M02	2	T105
T105_G3_1_M03	E2	M03	2	T105
T105_G3_1_M04	E2	M04	2	T105
T105_G3_1_M18	CTRL	M18	2	T105
T105_G3_1_M19	CTRL	M19	2	T105
T105_G3_1_M20	CTRL	M20	2	T105
T109_G2_1_M01	CTRL	M01	2	T109
T109_G2_1_M02	E2	M02	2	T109
T109_G2_1_M07	CTRL	M07	2	T109
T109_G2_1_M13	CTRL	M13	2	T109
T109_G2_1_M16	E2	M16	2	T109
T109_G2_1_M19	CTRL	M19	2	T109
T109_G2_1_M20	E2	M20	2	T109
T110_G2_M01	CTRL	M01	1	T110
T110_G2_M02	CTRL	M02	1	T110
T110_G2_M03	E2	M03	1	T110
T110_G2_M05	P4	M05	1	T110
T110_G2_M06	CTRL	M06	1	T110
T110_G2_M07	P4	M07	1	T110
T110_G2_M08	CTRL	M08	1	T110
T110_G2_M09	E2	M09	1	T110
T110_G2_M12	P4	M12	1	T110
T110_G2_M13	P4	M13	1	T110
T110_G2_M14	E2P4	M14	1	T110
T111_G2_M01	CTRL	M01	1	T111
T111_G2_M03	E2	M03	1	T111
T111_G2_M05	CTRL	M05	1	T111
T111_G2_M10	E2	M10	1	T111
T111_G2_M12	E2	M12	1	T111
T111_G2_M14	P4	M14	1	T111
T113_G3_M01	CTRL	M01	2	T113
T113_G3_M04R	E2	M04R	2	T113
T113_G3_M04L	E2	M04L	2	T113
T113_G3_M07	E2	M07	2	T113
T113_G3_M08	CTRL	M08	2	T113
T113_G3_M10	CTRL	M10	2	T113
