sample_name pdx treatment mouse batch
T110_G2_M01 T110_G2_M01 T110 CTRL M01 1
T110_G2_M02 T110_G2_M02 T110 CTRL M02 1
T110_G2_M03 T110_G2_M03 T110 E2 M03 1
T110_G2_M04 T110_G2_M04 T110 E2P4 M04 1
T110_G2_M05 T110_G2_M05 T110 P4 M05 1
T110_G2_M06 T110_G2_M06 T110 CTRL M06 1
T110_G2_M07 T110_G2_M07 T110 P4 M07 1
T110_G2_M08 T110_G2_M08 T110 CTRL M08 1
T110_G2_M09 T110_G2_M09 T110 E2 M09 1
T110_G2_M10 T110_G2_M10 T110 E2P4 M10 1
T110_G2_M12 T110_G2_M12 T110 P4 M12 1
T110_G2_M13 T110_G2_M13 T110 P4 M13 1
T110_G2_M14 T110_G2_M14 T110 E2P4 M14 1
T111_G2_M01 T111_G2_M01 T111 CTRL M01 1
T111_G2_M03 T111_G2_M03 T111 E2 M03 1
T111_G2_M04 T111_G2_M04 T111 E2P4 M04 1
T111_G2_M05 T111_G2_M05 T111 CTRL M05 1
T111_G2_M07 T111_G2_M07 T111 P4 M07 1
T111_G2_M08 T111_G2_M08 T111 CTRL M08 1
T111_G2_M10 T111_G2_M10 T111 E2 M10 1
T111_G2_M12 T111_G2_M12 T111 E2 M12 1
T111_G2_M13 T111_G2_M13 T111 E2P4 M13 1
T111_G2_M14 T111_G2_M14 T111 P4 M14 1
T111_G2_M15 T111_G2_M15 T111 P4 M15 1
METS15_G3_1_M25 METS15_G3_1_M25 METS15 E2 M25 1
METS15_G3_1_M26 METS15_G3_1_M26 METS15 E2 M26 1
METS15_G3_1_M27 METS15_G3_1_M27 METS15 E2P4 M27 1
METS15_G3_1_M29 METS15_G3_1_M29 METS15 P4 M29 1
METS15_G3_1_M31 METS15_G3_1_M31 METS15 CTRL M31 1
METS15_G3_1_M33 METS15_G3_1_M33 METS15 E2 M33 1
METS15_G3_1_M34 METS15_G3_1_M34 METS15 E2P4 M34 1
METS15_G3_1_M35 METS15_G3_1_M35 METS15 P4 M35 1
METS15_G3_1_M36 METS15_G3_1_M36 METS15 CTRL M36 1
METS15_G3_1_M37 METS15_G3_1_M37 METS15 E2P4 M37 1
METS15_G3_1_M38 METS15_G3_1_M38 METS15 P4 M38 1
METS15_G3_1_M39 METS15_G3_1_M39 METS15 E2 M39 1
METS15_G3_1_M40 METS15_G3_1_M40 METS15 CTRL M40 1
T105_G3_1_M01 T105_G3_1_M01 T105 E2 M01 2
T105_G3_1_M02 T105_G3_1_M02 T105 E2 M02 2
T105_G3_1_M03 T105_G3_1_M03 T105 E2 M03 2
T105_G3_1_M04 T105_G3_1_M04 T105 E2 M04 2
T105_G3_1_M12 T105_G3_1_M12 T105 P4 M12 2
T105_G3_1_M13 T105_G3_1_M13 T105 P4 M13 2
T105_G3_1_M14 T105_G3_1_M14 T105 P4 M14 2
T105_G3_1_M15 T105_G3_1_M15 T105 P4 M15 2
T105_G3_1_M16 T105_G3_1_M16 T105 CTRL M16 2
T105_G3_1_M17 T105_G3_1_M17 T105 CTRL M17 2
T105_G3_1_M18 T105_G3_1_M18 T105 CTRL M18 2
T105_G3_1_M19 T105_G3_1_M19 T105 CTRL M19 2
T105_G3_1_M20 T105_G3_1_M20 T105 CTRL M20 2
T109_G2_1_M01 T109_G2_1_M01 T109 CTRL M01 2
T109_G2_1_M02 T109_G2_1_M02 T109 E2 M02 2
T109_G2_1_M05 T109_G2_1_M05 T109 P4 M05 2
T109_G2_1_M07 T109_G2_1_M07 T109 CTRL M07 2
T109_G2_1_M08 T109_G2_1_M08 T109 P4 M08 2
T109_G2_1_M10 T109_G2_1_M10 T109 E2 M10 2
T109_G2_1_M13 T109_G2_1_M13 T109 CTRL M13 2
T109_G2_1_M15 T109_G2_1_M15 T109 P4 M15 2
T109_G2_1_M16 T109_G2_1_M16 T109 E2 M16 2
T109_G2_1_M17 T109_G2_1_M17 T109 P4 M17 2
T109_G2_1_M19 T109_G2_1_M19 T109 CTRL M19 2
T109_G2_1_M20 T109_G2_1_M20 T109 E2 M20 2
T113_G3_M01 T113_G3_M01 T113 CTRL M01 2
T113_G3_M04R T113_G3_M04R T113 E2 M04R 2
T113_G3_M04L T113_G3_M04L T113 E2 M04L 2
T113_G3_M06 T113_G3_M06 T113 P4 M06 2
T113_G3_M06R T113_G3_M06R T113 P4 M06R 2
T113_G3_M06L T113_G3_M06L T113 P4 M06L 2
T113_G3_M07 T113_G3_M07 T113 E2 M07 2
T113_G3_M08 T113_G3_M08 T113 CTRL M08 2
T113_G3_M09 T113_G3_M09 T113 P4 M09 2
T113_G3_M10 T113_G3_M10 T113 CTRL M10 2
